"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:10 GMT 2024","366","Auth","Forgot Password","","","","Forgot Password",""
"passed","Wed Feb 14 07:10:09 GMT 2024","Wed Feb 14 07:10:09 GMT 2024","98","Auth","Sign Up","","","","Sign up with invalid phone number",""
"passed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","85","","","","","","Webhook",""
"passed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:10 GMT 2024","88","Auth","Verify OTP","","","","Verify OTP with Invalid email",""
"passed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","83","Auth","Merchant Invite Sign Up","","","","Merchant Invite Sign up",""
"failed","Wed Feb 14 07:10:09 GMT 2024","Wed Feb 14 07:10:09 GMT 2024","158","Auth","Sign Up","","","","Sign up",""
"failed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","87","Invoice","Get Vendor Invoice","","","","Get Vendor Invoices",""
"failed","Wed Feb 14 07:10:08 GMT 2024","Wed Feb 14 07:10:09 GMT 2024","599","Auth","Sign In","","","","Sign in",""
"failed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","86","Merchant Transactions","Get Transactions","","","","Get Transactions",""
"passed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","93","Auth","Reset Password","","","","Reset Password with invalid vendor_id",""
"passed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:10 GMT 2024","92","Auth","Sign Up","","","","Sign up with invalid confirm password",""
"failed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","98","Auth","Change Password","","","","Change Password",""
"failed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:10 GMT 2024","99","Auth","Verify OTP","","","","Verify OTP with Invalid otp",""
"passed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","87","Auth","Change Password","","","","Change Password with invalid newPassword",""
"failed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","96","Invoice","Upload Invoice","","","","Upload Invoice",""
"passed","Wed Feb 14 07:10:09 GMT 2024","Wed Feb 14 07:10:09 GMT 2024","252","Auth","Sign In","","","","Sign in with invalid password",""
"passed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:10 GMT 2024","95","Auth","Verify OTP","","","","Verify OTP",""
"passed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:10 GMT 2024","86","Auth","Verify Merchant Invite","","","","Verify merchant Invite",""
"passed","Wed Feb 14 07:10:09 GMT 2024","Wed Feb 14 07:10:09 GMT 2024","128","Auth","Sign In","","","","Sign in with invalid email",""
"passed","Wed Feb 14 07:10:09 GMT 2024","Wed Feb 14 07:10:09 GMT 2024","89","Auth","Sign Up","","","","Sign up with invalid email",""
"failed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:10 GMT 2024","94","Auth","Resent Email OTP","","","","Resent Email OTP",""
"passed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","94","Auth","Reset Password","","","","Reset Password with invalid refresh_token",""
"failed","Wed Feb 14 07:10:10 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","104","Auth","Reset Password","","","","Reset Password",""
"passed","Wed Feb 14 07:10:11 GMT 2024","Wed Feb 14 07:10:11 GMT 2024","98","Auth","Change Password","","","","Change Password with invalid confirmPassword",""
